,index,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka
0,1,"1,600,000 ₪",אברבנאל מפה,"דירה, נאות רחל, חולון",3,75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
1,2,"2,170,000 ₪",אגרובנק מפה,"דירה, אגרובנק, חולון",1,58,"מרפסות
1","קומות בבנין
7","חניות
1",1,0,1,1,1,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0
2,3,"1,890,000 ₪",אורים מפה,"דירה, נאות רחל, חולון",6,100,nan,nan,nan,1,1,1,1,1,0,1,0,0,1,nan,nan,0,0
3,4,"2,050,000 ₪",אחד העם מפה,"דירה, רסקו א', חולון",3,77,none,"קומות בבנין
4","חניות
1",1,0,1,1,1,0,0,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",1,0
4,5,"1,850,000 ₪","אלופי צה""ל 1 מפה","דירה, קרית שרת מזרח, חולון",3,75,none,"קומות בבנין
9","חניות
1",1,0,1,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
01/06/2023",0,0
5,6,"1,850,000 ₪","אלופי צה""ל 1 מפה","דירה, קרית שרת מזרח, חולון",3,75,none,"קומות בבנין
9","חניות
1",1,0,1,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
01/06/2023",0,0
6,7,"1,890,000 ₪","אלופי צה""ל 22 מפה","דירה, רסקו ב', חולון",2,80,none,"קומות בבנין
7","חניות
1",0,0,1,1,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
7,8,"1,990,000 ₪","אלופי צה""ל מפה","דירה, קרית שרת מערב, חולון",3,52,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
8,9,"1,990,000 ₪","אלופי צה""ל מפה","דירה, קרית שרת מערב, חולון",3,52,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
9,10,"1,850,000 ₪",אלי כהן מפה,"דירה, חולון",1,85,none,"קומות בבנין
3","חניות
ללא",0,0,0,1,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0
10,11,"1,990,000 ₪",אליהו קראוזה 62 מפה,"דירה, רסקו א', חולון",1,74,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
11,12,"1,790,000 ₪",אליהו קראוזה מפה,"דירה, אגרובנק, חולון",1,78,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
12,13,"2,295,000 ₪",אליעזר בן יהודה מפה,"דירה, אגרובנק, חולון",1,74,"מרפסות
1","קומות בבנין
7","חניות
1",1,0,1,1,1,1,1,0,0,1,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0
13,14,"2,100,000 ₪",אנה פרנק 5 מפה,"דירה, נאות יהודית ונווה ארזים, חולון",4,87,none,"קומות בבנין
7","חניות
ללא",1,0,1,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
14,15,"2,370,000 ₪",אפעל מפה,"דירה, שיכון ותיקים, חולון",3,78,"מרפסות
1","קומות בבנין
7","חניות
1",1,0,1,1,1,1,1,1,1,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",0,0
15,16,"1,920,000 ₪","אצ""ל 62","דירה, תל גיבורים, חולון",3,76,none,"קומות בבנין
8","חניות
ללא",1,1,1,1,1,0,0,0,1,1,none,"תאריך כניסה
כניסה מיידית",0,0
16,17,"1,920,000 ₪","אצ""ל 62","דירה, תל גיבורים, חולון",3,76,none,"קומות בבנין
8","חניות
ללא",1,1,1,1,1,0,0,0,1,1,none,"תאריך כניסה
כניסה מיידית",0,0
17,18,"2,160,000 ₪","אצ""ל מפה","דירה, תל גיבורים, חולון",3,75,none,"קומות בבנין
4","חניות
ללא",1,0,0,1,1,1,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
18,19,"1,850,000 ₪","אצ""ל מפה","דירה, תל גיבורים, חולון",7,75,none,"קומות בבנין
8","חניות
1",1,0,1,1,1,0,1,0,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
19,20,"2,090,000 ₪",ארגוב 5 מפה,"דירה, נאות רחל, חולון",1,70,none,"קומות בבנין
3","חניות
1",1,1,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
20,21,"2,020,000 ₪",ארגוב מפה,"דירה, נאות רחל, חולון",3,67,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
21,22,"2,050,000 ₪",אריה שנקר מפה,"דירה, חולון",2,85,"מרפסות
3","קומות בבנין
4","חניות
ללא",1,1,1,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
22,23,"2,050,000 ₪",אריה שנקר מפה,"דירה, חולון",2,85,"מרפסות
3","קומות בבנין
4","חניות
ללא",1,1,1,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
23,24,"2,050,000 ₪",אריה שנקר מפה,"דירה, חולון",2,85,"מרפסות
3","קומות בבנין
4","חניות
ללא",1,1,1,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
24,25,"2,200,000 ₪",ארלוזורוב 5 מפה,"דירה, מרכז, קרית עבודה, חולון",4,80,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,1,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
25,26,"1,750,000 ₪",ארלוזורוב מפה,"דירה, מרכז, קרית עבודה, חולון",3,67,none,"קומות בבנין
4","חניות
1",0,0,1,1,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
26,27,"1,850,000 ₪",בזל 5 מפה,"דירה, חולון",4,65,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
27,28,"2,050,000 ₪","ביל""ו מפה","דירה, מרכז, קרית עבודה, חולון",2,68,"מרפסות
1","קומות בבנין
2","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
28,29,"1,990,000 ₪",בן גוריון מפה,"דירה, בן גוריון, חולון",5,75,none,"קומות בבנין
6","חניות
1",1,0,1,1,0,0,1,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
29,30,"1,990,000 ₪",בן גוריון מפה,"דירה, בן גוריון, חולון",2,70,"מרפסות
1","קומות בבנין
6","חניות
1",1,1,1,1,1,1,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
30,31,"1,790,000 ₪",בן גוריון מפה,"דירה, בן גוריון, חולון",5,70,none,"קומות בבנין
6","חניות
1",1,0,1,1,1,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
31,32,לא צוין מחיר,ברנשטיין 11,"דירה, נאות רחל, חולון",3,60,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,0,0,0,0,none,"תאריך כניסה
כניסה מיידית",0,0
32,33,"2,185,000 ₪",ברקן 14 מפה,"דירה, תל גיבורים, חולון",1,80,"מרפסות
1","קומות בבנין
6","חניות
1",1,0,1,0,1,1,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
33,34,לא צוין מחיר,ג'סי כהן מפה,"דירה, ג'סי כהן, חולון",4,68,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
34,35,"1,890,000 ₪",גבעת התחמושת מפה,"דירה, קרית שרת מערב, חולון",1,55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
