,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,"1,600,000 ₪",אברבנאל,"דירה, נאות רחל, חולון",3,75,,,,,,,,,,,,,,,,0,0,0,none,850000,none,"1,070,000",1045000,"700,000",none,none,1290000,1284166,705000,1356250,1249166,none
1,1,"2,170,000 ₪",אגרובנק,"דירה, אגרובנק, חולון",1,58,"מרפסות
1","קומות בבנין
7","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,2,"1,890,000 ₪",אורים,"דירה, נאות רחל, חולון",6,100,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,0,0,0,none,"1,100,000",1055000,none,none,"1,270,000",1350000,"1,650,000",1430000,1427500,none,1561000,1883000,none
3,3,"2,370,000 ₪",אפעל,"דירה, שיכון ותיקים, חולון",3,78,"מרפסות
1","קומות בבנין
7","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",0,0,0,"2,400,000",none,none,none,none,none,none,none,none,1665999,1716833,2010000,1777333,1778000
4,4,"2,160,000 ₪",אצל,"דירה, תל גיבורים, חולון",3,75,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,5,"1,850,000 ₪",אצל,"דירה, תל גיבורים, חולון",7,75,none,"קומות בבנין
8","חניות
1",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,6,"1,920,000 ₪",אצל 62,"דירה, תל גיבורים, חולון",3,76,none,"קומות בבנין
8","חניות
ללא",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,none,"תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,7,"2,020,000 ₪",ארגוב,"דירה, נאות רחל, חולון",3,67,none,"קומות בבנין
3","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,"1,000,000",none,none,none,none,none,none,none,none
8,8,"2,090,000 ₪",ארגוב 5,"דירה, נאות רחל, חולון",1,70,none,"קומות בבנין
3","חניות
1",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,"1,000,000",none,none,none,none,none,none,none,none
9,9,"1,750,000 ₪",ארלוזורוב,"דירה, מרכז, קרית עבודה, חולון",3,67,none,"קומות בבנין
4","חניות
1",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
